Place,Rent,Distance,Gender,WiFi,Food,Parking,Amenities,Combined
Bell Road,8900,5800.0,Male,No,Yes,Yes,"Restaurants, Grocery Stores",Bell Road 8900 5800.0 Male No Yes Yes Restaurants Grocery Stores
Bharuwala colony,3500,6200.0,Male,No,Yes,Yes,"Medical Shops, Transportation",Bharuwala colony 3500 6200.0 Male No Yes Yes Medical Shops Transportation
"Lane-1, Clement Town",12500,2800.0,Female,No,Yes,No,Restaurants,Lane-1 Clement Town 12500 2800.0 Female No Yes No Restaurants
"Lane-4, Clement Town",4400,3500.0,Male,No,Yes,Yes,"Gym, Restaurants",Lane-4 Clement Town 4400 3500.0 Male No Yes Yes Gym Restaurants
St Mary Church,5800,4400.0,Female,No,No,No,"Grocery Stores, Medical Shops",St Mary Church 5800 4400.0 Female No No No Grocery Stores Medical Shops
Pant Road,10300,6400.0,Male,Yes,No,No,"Transportation, Gym",Pant Road 10300 6400.0 Male Yes No No Transportation Gym
"Lane-10, Post Office Road",8400,4200.0,Female,No,No,Yes,"Transportation, Grocery Stores, Gym, Medical Shops, Restaurants",Lane-10 Post Office Road 8400 4200.0 Female No No Yes Transportation Grocery Stores Gym Medical Shops Restaurants
"Lane-10, Post Office Road",8000,4200.0,Male,No,Yes,No,"Transportation, Medical Shops",Lane-10 Post Office Road 8000 4200.0 Male No Yes No Transportation Medical Shops
Morowala,3700,7000.0,Male,Yes,Yes,No,Grocery Stores,Morowala 3700 7000.0 Male Yes Yes No Grocery Stores
"Lane-1, Clement Town",12100,2800.0,Female,No,No,Yes,"Transportation, Restaurants, Gym, Grocery Stores, Medical Shops",Lane-1 Clement Town 12100 2800.0 Female No No Yes Transportation Restaurants Gym Grocery Stores Medical Shops
Morowala,12700,7000.0,Female,No,No,Yes,Transportation,Morowala 12700 7000.0 Female No No Yes Transportation
"Lane-10, Post Office Road",3600,4200.0,Male,No,No,No,Transportation,Lane-10 Post Office Road 3600 4200.0 Male No No No Transportation
"Lane-10, Post Office Road",8400,4200.0,Male,Yes,Yes,Yes,"Grocery Stores, Medical Shops, Gym, Transportation",Lane-10 Post Office Road 8400 4200.0 Male Yes Yes Yes Grocery Stores Medical Shops Gym Transportation
"Lane-4, Clement Town",4000,3500.0,Female,Yes,Yes,Yes,Gym,Lane-4 Clement Town 4000 3500.0 Female Yes Yes Yes Gym
"Lane-3, Clement Town",10500,3300.0,Female,Yes,No,No,"Gym, Transportation, Grocery Stores, Medical Shops, Restaurants",Lane-3 Clement Town 10500 3300.0 Female Yes No No Gym Transportation Grocery Stores Medical Shops Restaurants
Subhash Nagar,5800,5000.0,Female,Yes,Yes,Yes,"Restaurants, Transportation",Subhash Nagar 5800 5000.0 Female Yes Yes Yes Restaurants Transportation
"Lane-4, Clement Town",11500,3500.0,Male,No,Yes,Yes,Grocery Stores,Lane-4 Clement Town 11500 3500.0 Male No Yes Yes Grocery Stores
Shubhash Nagar,9100,5400.0,Female,Yes,Yes,Yes,"Gym, Transportation, Medical Shops",Shubhash Nagar 9100 5400.0 Female Yes Yes Yes Gym Transportation Medical Shops
"Lane-1, Clement Town",5900,2800.0,Male,No,No,Yes,"Restaurants, Gym",Lane-1 Clement Town 5900 2800.0 Male No No Yes Restaurants Gym
Pant Road,12000,6400.0,Female,No,No,No,"Transportation, Grocery Stores",Pant Road 12000 6400.0 Female No No No Transportation Grocery Stores
Nehru Marg,9100,5700.0,Female,Yes,Yes,No,"Medical Shops, Restaurants",Nehru Marg 9100 5700.0 Female Yes Yes No Medical Shops Restaurants
"Clement Town, Post Office Road, Lane No 10",9400,4000.0,Male,Yes,Yes,Yes,Transportation,Clement Town Post Office Road Lane No 10 9400 4000.0 Male Yes Yes Yes Transportation
"Clement Town, Post Office Road, Lane No 10",9600,4000.0,Male,No,No,Yes,Transportation,Clement Town Post Office Road Lane No 10 9600 4000.0 Male No No Yes Transportation
"Lane-1, Clement Town",10800,2800.0,Female,No,Yes,Yes,"Gym, Grocery Stores, Transportation, Medical Shops",Lane-1 Clement Town 10800 2800.0 Female No Yes Yes Gym Grocery Stores Transportation Medical Shops
ISBT Road,4800,3300.0,Female,Yes,Yes,Yes,"Grocery Stores, Transportation, Restaurants",ISBT Road 4800 3300.0 Female Yes Yes Yes Grocery Stores Transportation Restaurants
GK army Pre Primary School,11900,4600.0,Female,No,Yes,Yes,"Transportation, Restaurants, Gym",GK army Pre Primary School 11900 4600.0 Female No Yes Yes Transportation Restaurants Gym
Bharuwala colony,3800,6200.0,Female,No,No,No,"Medical Shops, Gym, Grocery Stores, Transportation, Restaurants",Bharuwala colony 3800 6200.0 Female No No No Medical Shops Gym Grocery Stores Transportation Restaurants
Manav Kendra,12000,3900.0,Male,No,No,Yes,"Transportation, Medical Shops, Grocery Stores, Restaurants",Manav Kendra 12000 3900.0 Male No No Yes Transportation Medical Shops Grocery Stores Restaurants
Shubhash Nagar,5800,5400.0,Male,No,No,Yes,"Transportation, Medical Shops, Gym, Restaurants",Shubhash Nagar 5800 5400.0 Male No No Yes Transportation Medical Shops Gym Restaurants
Jaligaon,7800,7500.0,Female,Yes,No,Yes,"Restaurants, Transportation, Gym",Jaligaon 7800 7500.0 Female Yes No Yes Restaurants Transportation Gym
"Lane-2, Clement Town",10500,2900.0,Female,No,No,Yes,Gym,Lane-2 Clement Town 10500 2900.0 Female No No Yes Gym
Shubhash Nagar,11800,5400.0,Female,No,No,Yes,Grocery Stores,Shubhash Nagar 11800 5400.0 Female No No Yes Grocery Stores
"Lane-1, Clement Town",6700,2800.0,Female,Yes,Yes,Yes,"Gym, Grocery Stores",Lane-1 Clement Town 6700 2800.0 Female Yes Yes Yes Gym Grocery Stores
Nehru Marg,4800,5700.0,Female,Yes,Yes,Yes,"Restaurants, Grocery Stores",Nehru Marg 4800 5700.0 Female Yes Yes Yes Restaurants Grocery Stores
Pant Road,5000,6400.0,Female,No,Yes,No,"Grocery Stores, Restaurants",Pant Road 5000 6400.0 Female No Yes No Grocery Stores Restaurants
Clement Town,3900,2700.0,Female,No,Yes,Yes,Restaurants,Clement Town 3900 2700.0 Female No Yes Yes Restaurants
GK army Pre Primary School,10800,4600.0,Female,No,Yes,Yes,"Medical Shops, Gym, Transportation, Grocery Stores",GK army Pre Primary School 10800 4600.0 Female No Yes Yes Medical Shops Gym Transportation Grocery Stores
Shubhash Nagar,12600,5400.0,Female,No,Yes,Yes,Restaurants,Shubhash Nagar 12600 5400.0 Female No Yes Yes Restaurants
ISBT Road,3700,3300.0,Male,Yes,No,Yes,"Restaurants, Medical Shops",ISBT Road 3700 3300.0 Male Yes No Yes Restaurants Medical Shops
Bell Road,12700,5800.0,Female,Yes,Yes,No,"Grocery Stores, Gym, Medical Shops, Transportation, Restaurants",Bell Road 12700 5800.0 Female Yes Yes No Grocery Stores Gym Medical Shops Transportation Restaurants
Shubhash Nagar,7900,5400.0,Male,No,No,Yes,"Restaurants, Medical Shops",Shubhash Nagar 7900 5400.0 Male No No Yes Restaurants Medical Shops
"Lane-4, Clement Town",12500,3500.0,Female,No,Yes,Yes,"Medical Shops, Grocery Stores, Gym, Restaurants",Lane-4 Clement Town 12500 3500.0 Female No Yes Yes Medical Shops Grocery Stores Gym Restaurants
GK army Pre Primary School,6100,4600.0,Male,Yes,Yes,No,"Gym, Medical Shops, Restaurants",GK army Pre Primary School 6100 4600.0 Male Yes Yes No Gym Medical Shops Restaurants
GK army Pre Primary School,4900,4600.0,Male,No,No,No,Grocery Stores,GK army Pre Primary School 4900 4600.0 Male No No No Grocery Stores
Sahastradhara,8500,9500.0,Male,Yes,No,Yes,"Restaurants, Grocery Stores, Transportation, Medical Shops",Sahastradhara 8500 9500.0 Male Yes No Yes Restaurants Grocery Stores Transportation Medical Shops
Air Force Colony,9700,6000.0,Female,Yes,Yes,Yes,"Transportation, Grocery Stores, Medical Shops",Air Force Colony 9700 6000.0 Female Yes Yes Yes Transportation Grocery Stores Medical Shops
Nehru Marg,8100,5700.0,Male,Yes,Yes,No,"Medical Shops, Gym",Nehru Marg 8100 5700.0 Male Yes Yes No Medical Shops Gym
"Subhash Nagar, Dehradun",3900,5300.0,Female,Yes,No,No,"Medical Shops, Gym, Restaurants, Transportation, Grocery Stores",Subhash Nagar Dehradun 3900 5300.0 Female Yes No No Medical Shops Gym Restaurants Transportation Grocery Stores
Tibetan Colony,10900,6800.0,Female,No,Yes,No,"Medical Shops, Restaurants, Transportation, Grocery Stores, Gym",Tibetan Colony 10900 6800.0 Female No Yes No Medical Shops Restaurants Transportation Grocery Stores Gym
"Lane-1, Clement Town",8600,2800.0,Female,Yes,No,No,"Restaurants, Transportation, Gym, Grocery Stores, Medical Shops",Lane-1 Clement Town 8600 2800.0 Female Yes No No Restaurants Transportation Gym Grocery Stores Medical Shops
Pant Road,7200,6400.0,Male,No,No,No,Gym,Pant Road 7200 6400.0 Male No No No Gym
Subhash Nagar,5400,5000.0,Female,Yes,Yes,Yes,Grocery Stores,Subhash Nagar 5400 5000.0 Female Yes Yes Yes Grocery Stores
"Lane-1, Clement Town",8800,2800.0,Female,Yes,No,No,"Medical Shops, Transportation, Restaurants, Grocery Stores",Lane-1 Clement Town 8800 2800.0 Female Yes No No Medical Shops Transportation Restaurants Grocery Stores
St Mary Church,11700,4400.0,Male,Yes,No,No,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores",St Mary Church 11700 4400.0 Male Yes No No Transportation Restaurants Gym Medical Shops Grocery Stores
Bharuwala colony,5900,6200.0,Female,No,No,No,"Restaurants, Transportation, Medical Shops",Bharuwala colony 5900 6200.0 Female No No No Restaurants Transportation Medical Shops
Gurn Nanak Road,8000,5000.0,Female,No,No,No,"Gym, Medical Shops, Transportation, Grocery Stores",Gurn Nanak Road 8000 5000.0 Female No No No Gym Medical Shops Transportation Grocery Stores
"Lane-10, Post Office Road",10400,4200.0,Female,Yes,No,No,Grocery Stores,Lane-10 Post Office Road 10400 4200.0 Female Yes No No Grocery Stores
Manav Kendra,4200,3900.0,Female,No,No,No,"Gym, Restaurants",Manav Kendra 4200 3900.0 Female No No No Gym Restaurants
"Lane-3, Clement Town",7200,3300.0,Male,Yes,No,No,"Medical Shops, Transportation, Grocery Stores, Gym, Restaurants",Lane-3 Clement Town 7200 3300.0 Male Yes No No Medical Shops Transportation Grocery Stores Gym Restaurants
Sahastradhara,6800,9500.0,Female,Yes,Yes,Yes,Grocery Stores,Sahastradhara 6800 9500.0 Female Yes Yes Yes Grocery Stores
Bell Road,6800,5800.0,Male,Yes,Yes,Yes,Grocery Stores,Bell Road 6800 5800.0 Male Yes Yes Yes Grocery Stores
Tibetan Colony,4500,6800.0,Male,No,Yes,Yes,"Grocery Stores, Medical Shops",Tibetan Colony 4500 6800.0 Male No Yes Yes Grocery Stores Medical Shops
"Lane-2, Clement Town",11800,2900.0,Female,Yes,No,Yes,"Grocery Stores, Medical Shops",Lane-2 Clement Town 11800 2900.0 Female Yes No Yes Grocery Stores Medical Shops
Gurn Nanak Road,10700,5000.0,Female,No,Yes,No,"Restaurants, Transportation",Gurn Nanak Road 10700 5000.0 Female No Yes No Restaurants Transportation
Sahastradhara,3100,9500.0,Female,Yes,Yes,No,Gym,Sahastradhara 3100 9500.0 Female Yes Yes No Gym
Manav Kendra,6600,3900.0,Female,No,No,Yes,"Grocery Stores, Transportation, Medical Shops, Gym",Manav Kendra 6600 3900.0 Female No No Yes Grocery Stores Transportation Medical Shops Gym
ISBT Road,3200,3300.0,Male,Yes,No,Yes,"Medical Shops, Transportation, Grocery Stores, Gym, Restaurants",ISBT Road 3200 3300.0 Male Yes No Yes Medical Shops Transportation Grocery Stores Gym Restaurants
Clement Town,11200,2700.0,Male,No,Yes,No,"Gym, Restaurants",Clement Town 11200 2700.0 Male No Yes No Gym Restaurants
"Subhash Nagar, Dehradun",5400,5300.0,Female,Yes,No,No,"Medical Shops, Gym, Transportation, Restaurants",Subhash Nagar Dehradun 5400 5300.0 Female Yes No No Medical Shops Gym Transportation Restaurants
"Lane-2, Clement Town",9300,2900.0,Female,Yes,Yes,Yes,"Gym, Transportation",Lane-2 Clement Town 9300 2900.0 Female Yes Yes Yes Gym Transportation
"Lane-2, Clement Town",5700,2900.0,Male,Yes,No,No,"Gym, Restaurants, Grocery Stores",Lane-2 Clement Town 5700 2900.0 Male Yes No No Gym Restaurants Grocery Stores
Pant Road,8300,6400.0,Male,No,Yes,Yes,"Transportation, Gym, Medical Shops, Grocery Stores, Restaurants",Pant Road 8300 6400.0 Male No Yes Yes Transportation Gym Medical Shops Grocery Stores Restaurants
Tibetan Colony,7800,6800.0,Male,No,No,No,"Gym, Medical Shops, Transportation",Tibetan Colony 7800 6800.0 Male No No No Gym Medical Shops Transportation
"Subhash Nagar, Dehradun",7000,5300.0,Male,No,Yes,No,"Transportation, Gym, Grocery Stores",Subhash Nagar Dehradun 7000 5300.0 Male No Yes No Transportation Gym Grocery Stores
St Mary Church,4000,4400.0,Male,No,Yes,Yes,Gym,St Mary Church 4000 4400.0 Male No Yes Yes Gym
Manav Kendra,5100,3900.0,Male,No,Yes,Yes,"Medical Shops, Restaurants, Grocery Stores",Manav Kendra 5100 3900.0 Male No Yes Yes Medical Shops Restaurants Grocery Stores
GK army Pre Primary School,9100,4600.0,Male,Yes,No,No,"Medical Shops, Gym",GK army Pre Primary School 9100 4600.0 Male Yes No No Medical Shops Gym
"Lane-1, Clement Town",11700,2800.0,Female,No,No,Yes,"Transportation, Medical Shops, Grocery Stores",Lane-1 Clement Town 11700 2800.0 Female No No Yes Transportation Medical Shops Grocery Stores
Mohabbewala,5800,8200.0,Male,Yes,No,Yes,"Grocery Stores, Medical Shops, Transportation, Restaurants, Gym",Mohabbewala 5800 8200.0 Male Yes No Yes Grocery Stores Medical Shops Transportation Restaurants Gym
Jaligaon,7600,7500.0,Female,Yes,No,No,"Gym, Transportation, Medical Shops, Restaurants, Grocery Stores",Jaligaon 7600 7500.0 Female Yes No No Gym Transportation Medical Shops Restaurants Grocery Stores
Tibetan Colony,4200,6800.0,Male,Yes,No,No,"Restaurants, Grocery Stores, Medical Shops, Gym, Transportation",Tibetan Colony 4200 6800.0 Male Yes No No Restaurants Grocery Stores Medical Shops Gym Transportation
Subhash Nagar,8400,5000.0,Male,Yes,Yes,No,"Grocery Stores, Transportation, Restaurants, Medical Shops",Subhash Nagar 8400 5000.0 Male Yes Yes No Grocery Stores Transportation Restaurants Medical Shops
Gurn Nanak Road,6600,5000.0,Female,Yes,Yes,No,"Medical Shops, Restaurants, Grocery Stores, Transportation",Gurn Nanak Road 6600 5000.0 Female Yes Yes No Medical Shops Restaurants Grocery Stores Transportation
"Lane-1, Clement Town",12300,2800.0,Male,No,No,Yes,"Gym, Grocery Stores, Transportation",Lane-1 Clement Town 12300 2800.0 Male No No Yes Gym Grocery Stores Transportation
ISBT Road,12900,3300.0,Male,Yes,No,Yes,"Restaurants, Gym, Grocery Stores",ISBT Road 12900 3300.0 Male Yes No Yes Restaurants Gym Grocery Stores
"Lane-10, Post Office Road",5500,4200.0,Male,No,No,No,"Grocery Stores, Transportation",Lane-10 Post Office Road 5500 4200.0 Male No No No Grocery Stores Transportation
Nehru Marg,12600,5700.0,Female,Yes,No,No,Grocery Stores,Nehru Marg 12600 5700.0 Female Yes No No Grocery Stores
"Lane-10, Post Office Road",12600,4200.0,Female,No,No,Yes,Medical Shops,Lane-10 Post Office Road 12600 4200.0 Female No No Yes Medical Shops
Bell Road,9900,5800.0,Female,No,No,Yes,"Transportation, Gym, Grocery Stores, Medical Shops, Restaurants",Bell Road 9900 5800.0 Female No No Yes Transportation Gym Grocery Stores Medical Shops Restaurants
"Lane-3, Clement Town",11200,3300.0,Male,Yes,No,Yes,"Gym, Grocery Stores, Transportation, Medical Shops",Lane-3 Clement Town 11200 3300.0 Male Yes No Yes Gym Grocery Stores Transportation Medical Shops
Air Force Colony,6200,6000.0,Male,Yes,Yes,Yes,Grocery Stores,Air Force Colony 6200 6000.0 Male Yes Yes Yes Grocery Stores
Clement Town,8800,2700.0,Female,Yes,No,No,"Transportation, Grocery Stores, Gym, Restaurants",Clement Town 8800 2700.0 Female Yes No No Transportation Grocery Stores Gym Restaurants
"Lane-3, Clement Town",6300,3300.0,Female,Yes,No,Yes,Gym,Lane-3 Clement Town 6300 3300.0 Female Yes No Yes Gym
GK army Pre Primary School,7600,4600.0,Male,No,No,No,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores",GK army Pre Primary School 7600 4600.0 Male No No No Gym Transportation Restaurants Medical Shops Grocery Stores
Subhash Nagar,3200,5000.0,Male,No,No,Yes,"Medical Shops, Transportation, Gym, Restaurants",Subhash Nagar 3200 5000.0 Male No No Yes Medical Shops Transportation Gym Restaurants
Bharuwala colony,7200,6200.0,Male,No,No,No,"Gym, Grocery Stores",Bharuwala colony 7200 6200.0 Male No No No Gym Grocery Stores
"Lane-4, Clement Town",5500,3500.0,Female,Yes,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops",Lane-4 Clement Town 5500 3500.0 Female Yes Yes Yes Grocery Stores Restaurants Medical Shops
"Clement Town, Post Office Road, Lane No 10",7700,4000.0,Female,No,No,Yes,"Gym, Medical Shops, Grocery Stores, Transportation",Clement Town Post Office Road Lane No 10 7700 4000.0 Female No No Yes Gym Medical Shops Grocery Stores Transportation
"Lane-1, Clement Town",11100,2800.0,Female,No,No,No,"Grocery Stores, Medical Shops, Transportation",Lane-1 Clement Town 11100 2800.0 Female No No No Grocery Stores Medical Shops Transportation
Mohabbewala,6100,8200.0,Female,No,No,Yes,Gym,Mohabbewala 6100 8200.0 Female No No Yes Gym
"Subhash Nagar, Dehradun",4800,5300.0,Female,No,Yes,Yes,"Restaurants, Gym, Medical Shops",Subhash Nagar Dehradun 4800 5300.0 Female No Yes Yes Restaurants Gym Medical Shops
Shubhash Nagar,11100,5400.0,Male,No,Yes,No,"Transportation, Gym, Medical Shops",Shubhash Nagar 11100 5400.0 Male No Yes No Transportation Gym Medical Shops
"Clement Town, Post Office Road, Lane No 10",12800,4000.0,Male,Yes,Yes,No,Gym,Clement Town Post Office Road Lane No 10 12800 4000.0 Male Yes Yes No Gym
"Lane-10, Post Office Road",7000,4200.0,Male,No,No,Yes,Restaurants,Lane-10 Post Office Road 7000 4200.0 Male No No Yes Restaurants
Mohabbewala,8000,8200.0,Male,No,Yes,Yes,Restaurants,Mohabbewala 8000 8200.0 Male No Yes Yes Restaurants
Manav Kendra,10800,3900.0,Male,No,No,No,"Grocery Stores, Gym",Manav Kendra 10800 3900.0 Male No No No Grocery Stores Gym
Bell Road,8300,5800.0,Male,Yes,No,No,Medical Shops,Bell Road 8300 5800.0 Male Yes No No Medical Shops
"Lane-1, Clement Town",4000,2800.0,Male,No,No,No,"Restaurants, Gym",Lane-1 Clement Town 4000 2800.0 Male No No No Restaurants Gym
Pant Road,12200,6400.0,Female,Yes,No,No,"Restaurants, Gym",Pant Road 12200 6400.0 Female Yes No No Restaurants Gym
Air Force Colony,4100,6000.0,Male,Yes,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Gym",Air Force Colony 4100 6000.0 Male Yes Yes No Restaurants Grocery Stores Medical Shops Gym
Bharuwala colony,11200,6200.0,Male,Yes,Yes,No,"Transportation, Medical Shops",Bharuwala colony 11200 6200.0 Male Yes Yes No Transportation Medical Shops
Pant Road,6900,6400.0,Female,Yes,Yes,Yes,"Transportation, Gym, Medical Shops",Pant Road 6900 6400.0 Female Yes Yes Yes Transportation Gym Medical Shops
"Clement Town, Post Office Road, Lane No 10",10900,4000.0,Male,Yes,Yes,No,"Gym, Medical Shops",Clement Town Post Office Road Lane No 10 10900 4000.0 Male Yes Yes No Gym Medical Shops
"Lane-1, Clement Town",8700,2800.0,Female,No,No,No,"Grocery Stores, Restaurants, Transportation, Medical Shops, Gym",Lane-1 Clement Town 8700 2800.0 Female No No No Grocery Stores Restaurants Transportation Medical Shops Gym
Manav Kendra,3000,3900.0,Male,Yes,Yes,Yes,"Restaurants, Transportation, Gym",Manav Kendra 3000 3900.0 Male Yes Yes Yes Restaurants Transportation Gym
Manav Kendra,3700,3900.0,Male,No,No,No,"Transportation, Grocery Stores, Gym",Manav Kendra 3700 3900.0 Male No No No Transportation Grocery Stores Gym
Shubhash Nagar,6100,5400.0,Male,No,No,Yes,"Restaurants, Transportation, Grocery Stores, Medical Shops",Shubhash Nagar 6100 5400.0 Male No No Yes Restaurants Transportation Grocery Stores Medical Shops
Tibetan Colony,10000,6800.0,Male,Yes,Yes,No,"Medical Shops, Grocery Stores, Restaurants",Tibetan Colony 10000 6800.0 Male Yes Yes No Medical Shops Grocery Stores Restaurants
St Mary Church,9700,4400.0,Male,Yes,No,Yes,"Restaurants, Grocery Stores, Medical Shops, Gym",St Mary Church 9700 4400.0 Male Yes No Yes Restaurants Grocery Stores Medical Shops Gym
"Lane-4, Clement Town",4500,3500.0,Male,No,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym",Lane-4 Clement Town 4500 3500.0 Male No Yes Yes Grocery Stores Restaurants Medical Shops Transportation Gym
Mohabbewala,6500,8200.0,Female,No,Yes,Yes,"Gym, Restaurants",Mohabbewala 6500 8200.0 Female No Yes Yes Gym Restaurants
GK army Pre Primary School,5600,4600.0,Male,Yes,Yes,Yes,"Restaurants, Grocery Stores, Gym, Medical Shops, Transportation",GK army Pre Primary School 5600 4600.0 Male Yes Yes Yes Restaurants Grocery Stores Gym Medical Shops Transportation
ISBT Road,12100,3300.0,Female,Yes,Yes,No,Restaurants,ISBT Road 12100 3300.0 Female Yes Yes No Restaurants
Tibetan Colony,5600,6800.0,Female,No,No,Yes,"Transportation, Gym, Grocery Stores, Medical Shops, Restaurants",Tibetan Colony 5600 6800.0 Female No No Yes Transportation Gym Grocery Stores Medical Shops Restaurants
Tibetan Colony,6600,6800.0,Male,No,Yes,No,"Grocery Stores, Transportation, Medical Shops, Gym",Tibetan Colony 6600 6800.0 Male No Yes No Grocery Stores Transportation Medical Shops Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",9600,4100.0,Female,No,No,No,"Restaurants, Medical Shops, Grocery Stores, Transportation",Lane No 2C Post Office Road Clement Town Dehradun 9600 4100.0 Female No No No Restaurants Medical Shops Grocery Stores Transportation
"Lane-2, Clement Town",3600,2900.0,Male,No,Yes,Yes,Medical Shops,Lane-2 Clement Town 3600 2900.0 Male No Yes Yes Medical Shops
"Clement Town, Post Office Road, Lane No 10",5400,4000.0,Male,Yes,Yes,No,Medical Shops,Clement Town Post Office Road Lane No 10 5400 4000.0 Male Yes Yes No Medical Shops
Manav Kendra,6400,3900.0,Male,No,Yes,No,"Restaurants, Medical Shops, Gym",Manav Kendra 6400 3900.0 Male No Yes No Restaurants Medical Shops Gym
Tibetan Colony,9200,6800.0,Female,No,No,Yes,"Restaurants, Gym, Grocery Stores, Medical Shops, Transportation",Tibetan Colony 9200 6800.0 Female No No Yes Restaurants Gym Grocery Stores Medical Shops Transportation
ISBT Road,11300,3300.0,Male,No,Yes,No,"Medical Shops, Gym, Restaurants",ISBT Road 11300 3300.0 Male No Yes No Medical Shops Gym Restaurants
"Lane-4, Clement Town",8500,3500.0,Female,No,Yes,Yes,Medical Shops,Lane-4 Clement Town 8500 3500.0 Female No Yes Yes Medical Shops
Manav Kendra,9800,3900.0,Female,Yes,No,Yes,Grocery Stores,Manav Kendra 9800 3900.0 Female Yes No Yes Grocery Stores
Tibetan Colony,8500,6800.0,Male,Yes,Yes,No,"Grocery Stores, Transportation",Tibetan Colony 8500 6800.0 Male Yes Yes No Grocery Stores Transportation
Sahastradhara,3900,9500.0,Male,Yes,No,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants",Sahastradhara 3900 9500.0 Male Yes No No Gym Medical Shops Grocery Stores Transportation Restaurants
"Lane-3, Clement Town",3400,3300.0,Female,Yes,No,Yes,"Restaurants, Gym, Grocery Stores, Medical Shops",Lane-3 Clement Town 3400 3300.0 Female Yes No Yes Restaurants Gym Grocery Stores Medical Shops
Tibetan Colony,7400,6800.0,Female,No,No,No,"Transportation, Restaurants, Medical Shops",Tibetan Colony 7400 6800.0 Female No No No Transportation Restaurants Medical Shops
Shubhash Nagar,6100,5400.0,Male,Yes,No,No,"Transportation, Medical Shops",Shubhash Nagar 6100 5400.0 Male Yes No No Transportation Medical Shops
Tibetan Colony,5700,6800.0,Male,Yes,No,No,Restaurants,Tibetan Colony 5700 6800.0 Male Yes No No Restaurants
"Lane-2, Clement Town",9800,2900.0,Female,No,Yes,No,"Grocery Stores, Restaurants",Lane-2 Clement Town 9800 2900.0 Female No Yes No Grocery Stores Restaurants
Sahastradhara,7500,9500.0,Male,No,Yes,No,"Gym, Transportation",Sahastradhara 7500 9500.0 Male No Yes No Gym Transportation
"Lane-3, Clement Town",8600,3300.0,Male,Yes,No,Yes,"Grocery Stores, Gym, Restaurants, Medical Shops, Transportation",Lane-3 Clement Town 8600 3300.0 Male Yes No Yes Grocery Stores Gym Restaurants Medical Shops Transportation
"Subhash Nagar, Dehradun",7700,5300.0,Female,No,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Gym",Subhash Nagar Dehradun 7700 5300.0 Female No Yes Yes Transportation Restaurants Grocery Stores Gym
Jaligaon,11000,7500.0,Female,No,Yes,No,"Medical Shops, Gym",Jaligaon 11000 7500.0 Female No Yes No Medical Shops Gym
Sahastradhara,7300,9500.0,Female,No,Yes,Yes,"Medical Shops, Restaurants, Transportation, Grocery Stores, Gym",Sahastradhara 7300 9500.0 Female No Yes Yes Medical Shops Restaurants Transportation Grocery Stores Gym
"Lane-2, Clement Town",9500,2900.0,Male,No,No,Yes,"Restaurants, Transportation",Lane-2 Clement Town 9500 2900.0 Male No No Yes Restaurants Transportation
Air Force Colony,4000,6000.0,Female,No,Yes,No,"Restaurants, Gym, Grocery Stores",Air Force Colony 4000 6000.0 Female No Yes No Restaurants Gym Grocery Stores
"Clement Town, Post Office Road, Lane No 10",5100,4000.0,Female,No,Yes,Yes,"Restaurants, Medical Shops, Gym",Clement Town Post Office Road Lane No 10 5100 4000.0 Female No Yes Yes Restaurants Medical Shops Gym
Subhash Nagar,3200,5000.0,Female,No,Yes,Yes,"Gym, Restaurants, Transportation, Grocery Stores, Medical Shops",Subhash Nagar 3200 5000.0 Female No Yes Yes Gym Restaurants Transportation Grocery Stores Medical Shops
Pant Road,4300,6400.0,Female,No,Yes,No,"Gym, Transportation, Medical Shops",Pant Road 4300 6400.0 Female No Yes No Gym Transportation Medical Shops
Sahastradhara,5900,9500.0,Female,No,No,Yes,Medical Shops,Sahastradhara 5900 9500.0 Female No No Yes Medical Shops
Shubhash Nagar,3100,5400.0,Male,No,No,No,"Medical Shops, Grocery Stores",Shubhash Nagar 3100 5400.0 Male No No No Medical Shops Grocery Stores
Clement Town,10500,2700.0,Female,No,No,No,"Restaurants, Medical Shops, Grocery Stores, Gym, Transportation",Clement Town 10500 2700.0 Female No No No Restaurants Medical Shops Grocery Stores Gym Transportation
"Subhash Nagar, Dehradun",12500,5300.0,Male,Yes,Yes,Yes,"Grocery Stores, Medical Shops, Gym",Subhash Nagar Dehradun 12500 5300.0 Male Yes Yes Yes Grocery Stores Medical Shops Gym
"Lane-3, Clement Town",10400,3300.0,Female,Yes,No,No,"Medical Shops, Gym, Grocery Stores, Restaurants, Transportation",Lane-3 Clement Town 10400 3300.0 Female Yes No No Medical Shops Gym Grocery Stores Restaurants Transportation
"Lane-4, Clement Town",3700,3500.0,Male,Yes,Yes,Yes,"Grocery Stores, Gym, Transportation, Medical Shops, Restaurants",Lane-4 Clement Town 3700 3500.0 Male Yes Yes Yes Grocery Stores Gym Transportation Medical Shops Restaurants
