Location,Rent (INR),Distance from College (km),Gender,WiFi,Distance from College (m),Food Availability,Parking Availability,Amenities
Jaligaon,3285,7.5,Female,Yes,,No,No,"Restaurants, Grocery Stores, Medical Shops"
Air Force Colony,12838,6.0,Male,Yes,,Yes,No,"Gym, Restaurants, Transportation, Grocery Stores"
Clement Town,7089,2.7,Female,Yes,,Yes,No,"Gym, Medical Shops"
Nehru Marg,6164,5.7,Male,No,,Yes,No,"Grocery Stores, Medical Shops"
Tibetan Colony,7964,6.8,Male,Yes,,Yes,Yes,Transportation
"Lane-4, Clement Town",4457,3.5,Female,Yes,,Yes,Yes,Gym
Subhash Nagar,7780,5.0,Male,No,,Yes,No,"Gym, Restaurants, Grocery Stores, Transportation"
Morowala,9603,7.0,Female,No,,Yes,No,"Grocery Stores, Medical Shops, Restaurants, Transportation, Gym"
Nehru Marg,5933,5.7,Male,Yes,,No,No,"Medical Shops, Restaurants"
Air Force Colony,3208,6.0,Female,No,,Yes,No,Grocery Stores
"Lane-3, Clement Town",3014,3.3,Female,Yes,,No,No,"Medical Shops, Transportation"
Air Force Colony,4965,6.0,Female,Yes,,No,Yes,"Grocery Stores, Restaurants, Medical Shops"
Air Force Colony,9059,6.0,Female,No,,No,No,"Gym, Transportation, Grocery Stores, Medical Shops"
Bharuwala colony,11734,6.2,Male,Yes,,No,Yes,"Medical Shops, Gym, Transportation, Grocery Stores"
"Lane-1, Clement Town",3886,2.8,Male,Yes,,Yes,Yes,"Gym, Restaurants"
GK army Pre Primary School,3939,4.6,Male,No,,Yes,Yes,"Gym, Medical Shops, Transportation"
Jaligaon,7742,7.5,Female,No,,Yes,No,"Medical Shops, Grocery Stores, Restaurants"
"Clement Town, Post Office Road, Lane No 10",5256,4.0,Female,No,,No,Yes,"Transportation, Restaurants"
Clement Town,12789,2.7,Female,Yes,,Yes,No,Medical Shops
St Mary Church,12933,4.4,Male,Yes,,No,Yes,"Gym, Transportation"
Mohabbewala,8664,8.2,Male,Yes,,Yes,Yes,"Grocery Stores, Restaurants, Gym, Medical Shops, Transportation"
"Lane-1, Clement Town",4557,2.8,Female,Yes,,Yes,No,"Restaurants, Gym"
GK army Pre Primary School,3053,4.6,Male,No,,Yes,Yes,"Restaurants, Gym, Grocery Stores, Medical Shops"
Clement Town,8928,2.7,Female,No,,Yes,No,"Gym, Restaurants, Grocery Stores, Transportation, Medical Shops"
Gurn Nanak Road,5496,5.0,Male,No,,Yes,No,"Grocery Stores, Restaurants, Gym, Medical Shops"
Bell Road,12022,5.8,Female,Yes,,No,Yes,"Medical Shops, Gym, Transportation, Grocery Stores"
Shubhash Nagar,11694,5.4,Male,Yes,,No,No,"Restaurants, Transportation, Medical Shops, Grocery Stores"
Gurn Nanak Road,9042,5.0,Female,No,,No,Yes,"Grocery Stores, Gym, Medical Shops, Restaurants, Transportation"
Air Force Colony,11381,6.0,Female,No,,Yes,No,"Gym, Transportation, Restaurants"
Gurn Nanak Road,5072,5.0,Female,No,,Yes,Yes,"Transportation, Grocery Stores, Gym, Medical Shops"
Air Force Colony,8871,6.0,Female,Yes,,Yes,No,"Transportation, Gym, Medical Shops, Grocery Stores, Restaurants"
Gurn Nanak Road,7375,5.0,Female,Yes,,No,No,Restaurants
Gurn Nanak Road,11658,5.0,Male,Yes,,Yes,Yes,"Grocery Stores, Medical Shops, Transportation"
GK army Pre Primary School,7482,4.6,Female,No,,No,Yes,Medical Shops
ISBT Road,3627,3.3,Female,Yes,,Yes,Yes,"Transportation, Grocery Stores"
"Lane-2, Clement Town",7771,2.9,Female,Yes,,Yes,No,"Restaurants, Gym, Medical Shops"
Manav Kendra,3275,3.9,Male,No,,No,Yes,"Grocery Stores, Medical Shops"
"Lane-1, Clement Town",8511,2.8,Female,No,,Yes,No,"Grocery Stores, Medical Shops, Restaurants, Transportation, Gym"
St Mary Church,3064,4.4,Female,Yes,,Yes,Yes,"Grocery Stores, Gym"
"Lane-4, Clement Town",12504,3.5,Female,Yes,,No,Yes,"Grocery Stores, Transportation, Gym"
Gurn Nanak Road,6792,5.0,Female,Yes,,Yes,No,Restaurants
St Mary Church,6393,4.4,Male,Yes,,Yes,Yes,"Gym, Restaurants, Medical Shops, Transportation, Grocery Stores"
St Mary Church,11214,4.4,Male,Yes,,Yes,No,"Restaurants, Medical Shops"
Subhash Nagar,6353,5.0,Female,No,,No,Yes,Gym
"Lane-3, Clement Town",11851,3.3,Female,Yes,,No,Yes,"Gym, Transportation"
Clement Town,8850,2.7,Female,No,,No,No,"Restaurants, Medical Shops, Gym"
Pant Road,6424,6.4,Female,No,,Yes,No,Transportation
"Clement Town, Post Office Road, Lane No 10",7574,4.0,Female,No,,No,Yes,Medical Shops
ISBT Road,11669,3.3,Male,Yes,,No,No,"Gym, Grocery Stores, Restaurants"
Air Force Colony,6378,6.0,Female,No,,No,Yes,"Restaurants, Medical Shops, Grocery Stores, Transportation, Gym"
Nehru Marg,8200,5.7,Male,Yes,,No,No,"Restaurants, Transportation, Grocery Stores, Medical Shops"
GK army Pre Primary School,5731,4.6,Male,Yes,,Yes,No,"Medical Shops, Grocery Stores"
"Lane-1, Clement Town",12988,2.8,Male,No,,No,Yes,"Medical Shops, Transportation, Restaurants"
"Lane-10, Post Office Road",11536,4.2,Male,No,,No,Yes,"Transportation, Medical Shops, Grocery Stores"
Nehru Marg,7984,5.7,Female,No,,No,No,"Gym, Medical Shops, Grocery Stores, Restaurants, Transportation"
Clement Town,12255,2.7,Female,Yes,,No,Yes,"Grocery Stores, Medical Shops"
Bell Road,11719,5.8,Male,No,,No,No,"Grocery Stores, Medical Shops, Restaurants"
Pant Road,5330,6.4,Female,No,,No,No,"Gym, Grocery Stores, Restaurants"
Sahastradhara,9262,9.5,Female,Yes,,Yes,Yes,"Transportation, Grocery Stores, Gym"
"Subhash Nagar, Dehradun",5925,5.3,Male,Yes,,No,No,"Grocery Stores, Medical Shops, Transportation"
Air Force Colony,8776,6.0,Male,Yes,,Yes,Yes,"Medical Shops, Restaurants"
Bell Road,4670,5.8,Female,Yes,,Yes,Yes,"Gym, Transportation"
Jaligaon,4096,7.5,Female,No,,No,No,"Gym, Transportation, Medical Shops, Restaurants, Grocery Stores"
Mohabbewala,6493,8.2,Female,No,,No,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants"
"Lane-2, Clement Town",9297,2.9,Male,No,,No,Yes,Transportation
Bell Road,10740,5.8,Female,No,,No,No,"Grocery Stores, Transportation, Gym"
Sahastradhara,4962,9.5,Female,Yes,,No,Yes,"Restaurants, Medical Shops"
Subhash Nagar,5367,5.0,Female,No,,No,No,"Grocery Stores, Transportation, Medical Shops, Gym"
Jaligaon,5396,7.5,Male,No,,No,Yes,Medical Shops
Tibetan Colony,10668,6.8,Male,Yes,,Yes,No,Transportation
Nehru Marg,6694,5.7,Female,Yes,,Yes,Yes,"Restaurants, Medical Shops, Grocery Stores, Transportation"
"Subhash Nagar, Dehradun",6817,5.3,Male,Yes,,No,No,"Medical Shops, Gym, Grocery Stores, Restaurants"
Mohabbewala,3540,8.2,Male,Yes,,No,No,"Transportation, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",6932,4.0,Female,No,,Yes,Yes,Restaurants
Subhash Nagar,6744,5.0,Male,No,,No,Yes,"Transportation, Medical Shops"
Shubhash Nagar,10400,5.4,Female,No,,No,No,Transportation
Tibetan Colony,8541,6.8,Male,No,,No,No,Gym
Mohabbewala,8928,8.2,Male,No,,No,Yes,"Grocery Stores, Medical Shops, Restaurants"
St Mary Church,11629,4.4,Male,No,,Yes,Yes,"Transportation, Grocery Stores, Gym, Medical Shops"
Mohabbewala,8040,8.2,Male,No,,No,Yes,"Gym, Grocery Stores, Transportation, Medical Shops, Restaurants"
St Mary Church,10359,4.4,Male,Yes,,No,Yes,Restaurants
St Mary Church,8476,4.4,Female,Yes,,Yes,Yes,"Gym, Restaurants"
"Lane-4, Clement Town",6576,3.5,Female,No,,Yes,No,"Medical Shops, Gym"
"Lane-2, Clement Town",11328,2.9,Female,Yes,,Yes,Yes,"Medical Shops, Restaurants, Transportation"
Clement Town,4352,2.7,Male,No,,Yes,No,Transportation
Bell Road,8949,5.8,Male,No,,Yes,Yes,"Restaurants, Grocery Stores"
Bharuwala colony,3463,6.2,Male,No,,Yes,Yes,"Medical Shops, Transportation"
"Lane-1, Clement Town",12494,2.8,Female,No,,Yes,No,Restaurants
"Lane-4, Clement Town",4394,3.5,Male,No,,Yes,Yes,"Gym, Restaurants"
St Mary Church,5842,4.4,Female,No,,No,No,"Grocery Stores, Medical Shops"
Pant Road,10292,6.4,Male,Yes,,No,No,"Transportation, Gym"
"Lane-10, Post Office Road",8408,4.2,Female,No,,No,Yes,"Transportation, Grocery Stores, Gym, Medical Shops, Restaurants"
"Lane-10, Post Office Road",8045,4.2,Male,No,,Yes,No,"Transportation, Medical Shops"
Morowala,3707,7.0,Male,Yes,,Yes,No,Grocery Stores
"Lane-1, Clement Town",12060,2.8,Female,No,,No,Yes,"Transportation, Restaurants, Gym, Grocery Stores, Medical Shops"
Morowala,12705,7.0,Female,No,,No,Yes,Transportation
"Lane-10, Post Office Road",3607,4.2,Male,No,,No,No,Transportation
"Lane-10, Post Office Road",8393,4.2,Male,Yes,,Yes,Yes,"Grocery Stores, Medical Shops, Gym, Transportation"
"Lane-4, Clement Town",4031,3.5,Female,Yes,,Yes,Yes,Gym
"Lane-3, Clement Town",10514,3.3,Female,Yes,,No,No,"Gym, Transportation, Grocery Stores, Medical Shops, Restaurants"
Subhash Nagar,5828,5.0,Female,Yes,,Yes,Yes,"Restaurants, Transportation"
"Lane-4, Clement Town",11504,3.5,Male,No,,Yes,Yes,Grocery Stores
Shubhash Nagar,9110,5.4,Female,Yes,,Yes,Yes,"Gym, Transportation, Medical Shops"
"Lane-1, Clement Town",5882,2.8,Male,No,,No,Yes,"Restaurants, Gym"
Pant Road,12003,6.4,Female,No,,No,No,"Transportation, Grocery Stores"
Nehru Marg,9143,5.7,Female,Yes,,Yes,No,"Medical Shops, Restaurants"
"Clement Town, Post Office Road, Lane No 10",9378,4.0,Male,Yes,,Yes,Yes,Transportation
"Clement Town, Post Office Road, Lane No 10",9638,4.0,Male,No,,No,Yes,Transportation
"Lane-1, Clement Town",10808,2.8,Female,No,,Yes,Yes,"Gym, Grocery Stores, Transportation, Medical Shops"
ISBT Road,4793,3.3,Female,Yes,,Yes,Yes,"Grocery Stores, Transportation, Restaurants"
GK army Pre Primary School,11902,4.6,Female,No,,Yes,Yes,"Transportation, Restaurants, Gym"
Bharuwala colony,3769,6.2,Female,No,,No,No,"Medical Shops, Gym, Grocery Stores, Transportation, Restaurants"
Manav Kendra,11984,3.9,Male,No,,No,Yes,"Transportation, Medical Shops, Grocery Stores, Restaurants"
Shubhash Nagar,5847,5.4,Male,No,,No,Yes,"Transportation, Medical Shops, Gym, Restaurants"
Jaligaon,7840,7.5,Female,Yes,,No,Yes,"Restaurants, Transportation, Gym"
"Lane-2, Clement Town",10514,2.9,Female,No,,No,Yes,Gym
Shubhash Nagar,11778,5.4,Female,No,,No,Yes,Grocery Stores
"Lane-1, Clement Town",6703,2.8,Female,Yes,,Yes,Yes,"Gym, Grocery Stores"
Nehru Marg,4829,5.7,Female,Yes,,Yes,Yes,"Restaurants, Grocery Stores"
Pant Road,5042,6.4,Female,No,,Yes,No,"Grocery Stores, Restaurants"
Clement Town,3863,2.7,Female,No,,Yes,Yes,Restaurants
GK army Pre Primary School,10815,4.6,Female,No,,Yes,Yes,"Medical Shops, Gym, Transportation, Grocery Stores"
Shubhash Nagar,12606,5.4,Female,No,,Yes,Yes,Restaurants
ISBT Road,3708,3.3,Male,Yes,,No,Yes,"Restaurants, Medical Shops"
Bell Road,12743,5.8,Female,Yes,,Yes,No,"Grocery Stores, Gym, Medical Shops, Transportation, Restaurants"
Shubhash Nagar,7909,5.4,Male,No,,No,Yes,"Restaurants, Medical Shops"
"Lane-4, Clement Town",12465,3.5,Female,No,,Yes,Yes,"Medical Shops, Grocery Stores, Gym, Restaurants"
GK army Pre Primary School,6066,4.6,Male,Yes,,Yes,No,"Gym, Medical Shops, Restaurants"
GK army Pre Primary School,4854,4.6,Male,No,,No,No,Grocery Stores
Sahastradhara,8482,9.5,Male,Yes,,No,Yes,"Restaurants, Grocery Stores, Transportation, Medical Shops"
Air Force Colony,9692,6.0,Female,Yes,,Yes,Yes,"Transportation, Grocery Stores, Medical Shops"
Nehru Marg,8087,5.7,Male,Yes,,Yes,No,"Medical Shops, Gym"
"Subhash Nagar, Dehradun",3882,5.3,Female,Yes,,No,No,"Medical Shops, Gym, Restaurants, Transportation, Grocery Stores"
Tibetan Colony,10904,6.8,Female,No,,Yes,No,"Medical Shops, Restaurants, Transportation, Grocery Stores, Gym"
"Lane-1, Clement Town",8592,2.8,Female,Yes,,No,No,"Restaurants, Transportation, Gym, Grocery Stores, Medical Shops"
Pant Road,7200,6.4,Male,No,,No,No,Gym
Subhash Nagar,5428,5.0,Female,Yes,,Yes,Yes,Grocery Stores
"Lane-1, Clement Town",8762,2.8,Female,Yes,,No,No,"Medical Shops, Transportation, Restaurants, Grocery Stores"
St Mary Church,11680,4.4,Male,Yes,,No,No,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores"
Bharuwala colony,5906,6.2,Female,No,,No,No,"Restaurants, Transportation, Medical Shops"
Gurn Nanak Road,8005,5.0,Female,No,,No,No,"Gym, Medical Shops, Transportation, Grocery Stores"
"Lane-10, Post Office Road",10379,4.2,Female,Yes,,No,No,Grocery Stores
Manav Kendra,4206,3.9,Female,No,,No,No,"Gym, Restaurants"
"Lane-3, Clement Town",7233,3.3,Male,Yes,,No,No,"Medical Shops, Transportation, Grocery Stores, Gym, Restaurants"
Sahastradhara,6819,9.5,Female,Yes,,Yes,Yes,Grocery Stores
Bell Road,6770,5.8,Male,Yes,,Yes,Yes,Grocery Stores
Tibetan Colony,4458,6.8,Male,No,,Yes,Yes,"Grocery Stores, Medical Shops"
"Lane-2, Clement Town",11836,2.9,Female,Yes,,No,Yes,"Grocery Stores, Medical Shops"
Gurn Nanak Road,10706,5.0,Female,No,,Yes,No,"Restaurants, Transportation"
Sahastradhara,3103,9.5,Female,Yes,,Yes,No,Gym
Manav Kendra,6600,3.9,Female,No,,No,Yes,"Grocery Stores, Transportation, Medical Shops, Gym"
ISBT Road,3188,3.3,Male,Yes,,No,Yes,"Medical Shops, Transportation, Grocery Stores, Gym, Restaurants"
Clement Town,11193,2.7,Male,No,,Yes,No,"Gym, Restaurants"
"Subhash Nagar, Dehradun",5368,5.3,Female,Yes,,No,No,"Medical Shops, Gym, Transportation, Restaurants"
"Lane-2, Clement Town",9289,2.9,Female,Yes,,Yes,Yes,"Gym, Transportation"
"Lane-2, Clement Town",5747,2.9,Male,Yes,,No,No,"Gym, Restaurants, Grocery Stores"
Pant Road,8320,6.4,Male,No,,Yes,Yes,"Transportation, Gym, Medical Shops, Grocery Stores, Restaurants"
Tibetan Colony,7771,6.8,Male,No,,No,No,"Gym, Medical Shops, Transportation"
"Subhash Nagar, Dehradun",7048,5.3,Male,No,,Yes,No,"Transportation, Gym, Grocery Stores"
St Mary Church,3999,4.4,Male,No,,Yes,Yes,Gym
Manav Kendra,5147,3.9,Male,No,,Yes,Yes,"Medical Shops, Restaurants, Grocery Stores"
GK army Pre Primary School,9129,4.6,Male,Yes,,No,No,"Medical Shops, Gym"
"Lane-1, Clement Town",11748,2.8,Female,No,,No,Yes,"Transportation, Medical Shops, Grocery Stores"
Mohabbewala,5778,8.2,Male,Yes,,No,Yes,"Grocery Stores, Medical Shops, Transportation, Restaurants, Gym"
Jaligaon,7644,7.5,Female,Yes,,No,No,"Gym, Transportation, Medical Shops, Restaurants, Grocery Stores"
Tibetan Colony,4171,6.8,Male,Yes,,No,No,"Restaurants, Grocery Stores, Medical Shops, Gym, Transportation"
Subhash Nagar,8418,5.0,Male,Yes,,Yes,No,"Grocery Stores, Transportation, Restaurants, Medical Shops"
Gurn Nanak Road,6558,5.0,Female,Yes,,Yes,No,"Medical Shops, Restaurants, Grocery Stores, Transportation"
"Lane-1, Clement Town",12334,2.8,Male,No,,No,Yes,"Gym, Grocery Stores, Transportation"
ISBT Road,12883,3.3,Male,Yes,,No,Yes,"Restaurants, Gym, Grocery Stores"
"Lane-10, Post Office Road",5484,4.2,Male,No,,No,No,"Grocery Stores, Transportation"
Nehru Marg,12567,5.7,Female,Yes,,No,No,Grocery Stores
"Lane-10, Post Office Road",12636,4.2,Female,No,,No,Yes,Medical Shops
Bell Road,9876,5.8,Female,No,,No,Yes,"Transportation, Gym, Grocery Stores, Medical Shops, Restaurants"
"Lane-3, Clement Town",11238,3.3,Male,Yes,,No,Yes,"Gym, Grocery Stores, Transportation, Medical Shops"
Air Force Colony,6236,6.0,Male,Yes,,Yes,Yes,Grocery Stores
Clement Town,8784,2.7,Female,Yes,,No,No,"Transportation, Grocery Stores, Gym, Restaurants"
"Lane-3, Clement Town",6253,3.3,Female,Yes,,No,Yes,Gym
GK army Pre Primary School,7599,4.6,Male,No,,No,No,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores"
Subhash Nagar,3243,5.0,Male,No,,No,Yes,"Medical Shops, Transportation, Gym, Restaurants"
Bharuwala colony,7250,6.2,Male,No,,No,No,"Gym, Grocery Stores"
"Lane-4, Clement Town",5455,3.5,Female,Yes,,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",7679,4.0,Female,No,,No,Yes,"Gym, Medical Shops, Grocery Stores, Transportation"
"Lane-1, Clement Town",11100,2.8,Female,No,,No,No,"Grocery Stores, Medical Shops, Transportation"
Mohabbewala,6118,8.2,Female,No,,No,Yes,Gym
"Subhash Nagar, Dehradun",4768,5.3,Female,No,,Yes,Yes,"Restaurants, Gym, Medical Shops"
Shubhash Nagar,11070,5.4,Male,No,,Yes,No,"Transportation, Gym, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",12828,4.0,Male,Yes,,Yes,No,Gym
"Lane-10, Post Office Road",7019,4.2,Male,No,,No,Yes,Restaurants
Mohabbewala,8025,8.2,Male,No,,Yes,Yes,Restaurants
Manav Kendra,10779,3.9,Male,No,,No,No,"Grocery Stores, Gym"
Bell Road,8332,5.8,Male,Yes,,No,No,Medical Shops
"Lane-1, Clement Town",4024,2.8,Male,No,,No,No,"Restaurants, Gym"
Pant Road,12176,6.4,Female,Yes,,No,No,"Restaurants, Gym"
Air Force Colony,4060,6.0,Male,Yes,,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Gym"
Bharuwala colony,11187,6.2,Male,Yes,,Yes,No,"Transportation, Medical Shops"
Pant Road,6887,6.4,Female,Yes,,Yes,Yes,"Transportation, Gym, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",10915,4.0,Male,Yes,,Yes,No,"Gym, Medical Shops"
"Lane-1, Clement Town",8651,2.8,Female,No,,No,No,"Grocery Stores, Restaurants, Transportation, Medical Shops, Gym"
Manav Kendra,3020,3.9,Male,Yes,,Yes,Yes,"Restaurants, Transportation, Gym"
Manav Kendra,3660,3.9,Male,No,,No,No,"Transportation, Grocery Stores, Gym"
Shubhash Nagar,6116,5.4,Male,No,,No,Yes,"Restaurants, Transportation, Grocery Stores, Medical Shops"
Tibetan Colony,9964,6.8,Male,Yes,,Yes,No,"Medical Shops, Grocery Stores, Restaurants"
St Mary Church,9737,4.4,Male,Yes,,No,Yes,"Restaurants, Grocery Stores, Medical Shops, Gym"
"Lane-4, Clement Town",4513,3.5,Male,No,,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym"
Mohabbewala,6548,8.2,Female,No,,Yes,Yes,"Gym, Restaurants"
GK army Pre Primary School,5585,4.6,Male,Yes,,Yes,Yes,"Restaurants, Grocery Stores, Gym, Medical Shops, Transportation"
ISBT Road,12069,3.3,Female,Yes,,Yes,No,Restaurants
Tibetan Colony,5563,6.8,Female,No,,No,Yes,"Transportation, Gym, Grocery Stores, Medical Shops, Restaurants"
Tibetan Colony,6611,6.8,Male,No,,Yes,No,"Grocery Stores, Transportation, Medical Shops, Gym"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",9626,4.1,Female,No,,No,No,"Restaurants, Medical Shops, Grocery Stores, Transportation"
"Lane-2, Clement Town",3557,2.9,Male,No,,Yes,Yes,Medical Shops
"Clement Town, Post Office Road, Lane No 10",5358,4.0,Male,Yes,,Yes,No,Medical Shops
Manav Kendra,6366,3.9,Male,No,,Yes,No,"Restaurants, Medical Shops, Gym"
Tibetan Colony,9239,6.8,Female,No,,No,Yes,"Restaurants, Gym, Grocery Stores, Medical Shops, Transportation"
ISBT Road,11266,3.3,Male,No,,Yes,No,"Medical Shops, Gym, Restaurants"
"Lane-4, Clement Town",8494,3.5,Female,No,,Yes,Yes,Medical Shops
Manav Kendra,9781,3.9,Female,Yes,,No,Yes,Grocery Stores
Tibetan Colony,8489,6.8,Male,Yes,,Yes,No,"Grocery Stores, Transportation"
Sahastradhara,3852,9.5,Male,Yes,,No,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants"
"Lane-3, Clement Town",3391,3.3,Female,Yes,,No,Yes,"Restaurants, Gym, Grocery Stores, Medical Shops"
Tibetan Colony,7434,6.8,Female,No,,No,No,"Transportation, Restaurants, Medical Shops"
Shubhash Nagar,6119,5.4,Male,Yes,,No,No,"Transportation, Medical Shops"
Tibetan Colony,5719,6.8,Male,Yes,,No,No,Restaurants
"Lane-2, Clement Town",9840,2.9,Female,No,,Yes,No,"Grocery Stores, Restaurants"
Sahastradhara,7524,9.5,Male,No,,Yes,No,"Gym, Transportation"
"Lane-3, Clement Town",8619,3.3,Male,Yes,,No,Yes,"Grocery Stores, Gym, Restaurants, Medical Shops, Transportation"
"Subhash Nagar, Dehradun",7680,5.3,Female,No,,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Gym"
Jaligaon,10969,7.5,Female,No,,Yes,No,"Medical Shops, Gym"
Sahastradhara,7306,9.5,Female,No,,Yes,Yes,"Medical Shops, Restaurants, Transportation, Grocery Stores, Gym"
"Lane-2, Clement Town",9510,2.9,Male,No,,No,Yes,"Restaurants, Transportation"
Air Force Colony,3981,6.0,Female,No,,Yes,No,"Restaurants, Gym, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",5127,4.0,Female,No,,Yes,Yes,"Restaurants, Medical Shops, Gym"
Subhash Nagar,3167,5.0,Female,No,,Yes,Yes,"Gym, Restaurants, Transportation, Grocery Stores, Medical Shops"
Pant Road,4312,6.4,Female,No,,Yes,No,"Gym, Transportation, Medical Shops"
Sahastradhara,5933,9.5,Female,No,,No,Yes,Medical Shops
Shubhash Nagar,3109,5.4,Male,No,,No,No,"Medical Shops, Grocery Stores"
Clement Town,10499,2.7,Female,No,,No,No,"Restaurants, Medical Shops, Grocery Stores, Gym, Transportation"
"Subhash Nagar, Dehradun",12487,5.3,Male,Yes,,Yes,Yes,"Grocery Stores, Medical Shops, Gym"
"Lane-3, Clement Town",10428,3.3,Female,Yes,,No,No,"Medical Shops, Gym, Grocery Stores, Restaurants, Transportation"
"Lane-4, Clement Town",3740,3.5,Male,Yes,,Yes,Yes,"Grocery Stores, Gym, Transportation, Medical Shops, Restaurants"
Jaligaon,5964,7.5,Female,No,,No,Yes,"Medical Shops, Restaurants, Gym, Transportation"
"Lane-10, Post Office Road",12355,4.2,Female,Yes,,Yes,Yes,"Grocery Stores, Transportation"
Tibetan Colony,8895,6.8,Male,Yes,,Yes,Yes,Gym
St Mary Church,6770,4.4,Female,Yes,,No,No,Medical Shops
Bharuwala colony,5723,6.2,Female,Yes,,No,No,Restaurants
Tibetan Colony,10845,6.8,Male,No,,No,No,"Transportation, Gym, Medical Shops, Restaurants, Grocery Stores"
Sahastradhara,12996,9.5,Female,Yes,,No,No,Medical Shops
Air Force Colony,10603,6.0,Male,Yes,,Yes,No,"Grocery Stores, Medical Shops"
"Lane-4, Clement Town",8424,3.5,Male,Yes,,No,No,"Medical Shops, Transportation, Gym"
Nehru Marg,7082,5.7,Male,Yes,,Yes,No,"Medical Shops, Restaurants, Transportation, Gym"
Bharuwala colony,8284,6.2,Female,Yes,,No,No,"Grocery Stores, Gym, Medical Shops, Restaurants"
Tibetan Colony,5116,6.8,Female,Yes,,No,Yes,Transportation
"Clement Town, Post Office Road, Lane No 10",5443,4.0,Male,No,,Yes,No,Medical Shops
Sahastradhara,5145,9.5,Female,No,,Yes,No,Gym
Tibetan Colony,12909,6.8,Male,Yes,,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants"
St Mary Church,12606,4.4,Male,No,,Yes,No,"Transportation, Restaurants, Grocery Stores, Medical Shops, Gym"
ISBT Road,12624,3.3,Female,Yes,,No,No,"Gym, Medical Shops, Grocery Stores, Restaurants"
GK army Pre Primary School,12175,4.6,Female,No,,Yes,No,"Medical Shops, Gym"
Subhash Nagar,12956,5.0,Male,No,,No,Yes,"Restaurants, Grocery Stores"
Jaligaon,9793,7.5,Female,No,,No,No,"Medical Shops, Transportation, Gym, Restaurants, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",9485,4.0,Male,Yes,,No,No,"Medical Shops, Restaurants, Gym"
Shubhash Nagar,3379,5.4,Female,No,,Yes,Yes,"Transportation, Restaurants"
Clement Town,11792,2.7,Male,No,,No,Yes,"Medical Shops, Grocery Stores, Restaurants, Gym, Transportation"
Tibetan Colony,11918,6.8,Female,Yes,,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Transportation"
"Subhash Nagar, Dehradun",4472,5.3,Female,No,,No,Yes,"Gym, Restaurants, Transportation, Medical Shops, Grocery Stores"
GK army Pre Primary School,10433,4.6,Female,No,,Yes,No,"Medical Shops, Gym, Transportation, Grocery Stores"
Mohabbewala,9218,8.2,Male,Yes,,No,No,"Transportation, Restaurants, Grocery Stores, Gym"
"Lane-4, Clement Town",5752,3.5,Male,No,,Yes,Yes,"Gym, Grocery Stores"
Bharuwala colony,10231,6.2,Female,No,,No,No,"Grocery Stores, Medical Shops, Transportation"
Pant Road,11322,6.4,Male,No,,Yes,No,"Grocery Stores, Transportation"
"Subhash Nagar, Dehradun",5890,5.3,Male,No,,Yes,Yes,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants"
Clement Town,4329,2.7,Male,No,,Yes,Yes,"Transportation, Grocery Stores"
ISBT Road,6035,3.3,Male,No,,No,No,Transportation
GK army Pre Primary School,8727,4.6,Male,Yes,,No,No,"Medical Shops, Transportation, Restaurants, Grocery Stores, Gym"
"Subhash Nagar, Dehradun",12337,5.3,Female,No,,Yes,No,"Restaurants, Medical Shops, Transportation, Grocery Stores"
Bell Road,10280,5.8,Male,Yes,,Yes,Yes,"Transportation, Medical Shops"
St Mary Church,3283,4.4,Female,No,,No,No,"Restaurants, Transportation, Gym"
Morowala,10677,7.0,Female,Yes,,Yes,Yes,Transportation
"Lane No 2C, Post Office Road, Clement Town, Dehradun",6952,4.1,Male,Yes,,Yes,Yes,"Transportation, Restaurants, Gym, Medical Shops"
Morowala,4337,7.0,Male,Yes,,Yes,No,"Transportation, Grocery Stores, Restaurants"
Clement Town,4577,2.7,Male,No,,Yes,No,"Gym, Transportation, Medical Shops, Grocery Stores"
Bharuwala colony,3001,6.2,Male,Yes,,Yes,No,Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7349,4.1,Female,Yes,,Yes,Yes,"Transportation, Medical Shops, Restaurants, Grocery Stores, Gym"
"Lane-10, Post Office Road",12794,4.2,Male,Yes,,No,Yes,"Restaurants, Medical Shops, Gym"
Shubhash Nagar,11400,5.4,Male,No,,No,Yes,"Grocery Stores, Gym, Restaurants, Medical Shops"
